task_type,selection_role,condition,run_id,source_dataset,model_name,retain_mechanism,reinforcement_repeats,sample_count,timestamp,source_persona_a,source_persona_b
machine_mindset,B_only,B_only,persona_20260410T042819Z_67143182,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:28:53.896364+00:00,ESFP,ESFP
machine_mindset,B_summary_to_B,B_summary_to_B,persona_20260410T053136Z_428d8a68,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T05:32:11.610072+00:00,INTJ,ESFP
ifeval,A_history_to_B,A_history_to_B,persona_20260410T051944Z_92fd25df,ifeval,gemini-2.5-flash-lite,history,1,30,2026-04-10T05:20:36.122264+00:00,INTJ,ESFP
ifeval,A_only,A_only,persona_20260410T042535Z_228ccd72,ifeval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:26:28.617445+00:00,INTJ,INTJ
ifeval,A_summary_to_B,A_summary_to_B,persona_20260410T052326Z_8b182db4,ifeval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T05:24:43.236770+00:00,INTJ,ESFP
ifeval,B_history_to_B,B_history_to_B,persona_20260410T052828Z_80d4ecf4,ifeval,gemini-2.5-flash-lite,history,1,30,2026-04-10T05:29:36.068010+00:00,INTJ,ESFP
ifeval,B_only,B_only,persona_20260410T042905Z_79a9b22e,ifeval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:30:03.566471+00:00,ESFP,ESFP
ifeval,B_summary_to_B,B_summary_to_B,persona_20260410T053220Z_f43a7bb4,ifeval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T05:33:18.176607+00:00,INTJ,ESFP
mbti_mcq,A_history_to_B,A_history_to_B,persona_20260410T053324Z_31aa3d23,mbti_questions,gemini-2.5-flash-lite,history,1,93,2026-04-10T05:36:39.457382+00:00,INTJ,INFJ
mbti_mcq,A_only,A_only,persona_20260410T042215Z_12ed668c,mbti_questions,gemini-2.5-flash-lite,none,0,93,2026-04-10T04:24:35.135436+00:00,INTJ,INTJ
mbti_mcq,A_summary_to_B,A_summary_to_B,persona_20260410T053849Z_b7dbfc51,mbti_questions,gemini-2.5-flash-lite,summary,1,93,2026-04-10T05:40:32.671661+00:00,INTJ,INFJ
mbti_mcq,B_history_to_B,B_history_to_B,persona_20260410T054225Z_cb886016,mbti_questions,gemini-2.5-flash-lite,history,1,93,2026-04-10T05:44:23.496939+00:00,INTJ,INFJ
mbti_mcq,B_only,B_only,persona_20260410T043011Z_e8339941,mbti_questions,gemini-2.5-flash-lite,none,0,93,2026-04-10T04:32:05.635446+00:00,INFJ,INFJ
mbti_mcq,B_summary_to_B,B_summary_to_B,persona_20260410T054610Z_100e2256,mbti_questions,gemini-2.5-flash-lite,summary,1,93,2026-04-10T05:48:11.338469+00:00,INTJ,INFJ
machine_mindset,A_history_to_B,A_history_to_B,persona_20260410T053645Z_930c8d63,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,history,1,30,2026-04-10T05:37:27.607573+00:00,INTJ,INFJ
machine_mindset,A_only,A_only,persona_20260410T042443Z_edc279e8,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:25:23.370622+00:00,INTJ,INTJ
machine_mindset,A_summary_to_B,A_summary_to_B,persona_20260410T054038Z_4f003228,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T05:41:13.636232+00:00,INTJ,INFJ
machine_mindset,B_history_to_B,B_history_to_B,persona_20260410T054429Z_f5ba82ac,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,history,1,30,2026-04-10T05:45:04.740518+00:00,INTJ,INFJ
machine_mindset,B_only,B_only,persona_20260410T043213Z_524f66a9,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:32:53.235070+00:00,INFJ,INFJ
machine_mindset,B_summary_to_B,B_summary_to_B,persona_20260410T054817Z_7cc98caf,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T05:49:03.920993+00:00,INTJ,INFJ
ifeval,A_history_to_B,A_history_to_B,persona_20260410T053737Z_9c8db083,ifeval,gemini-2.5-flash-lite,history,1,30,2026-04-10T05:38:43.755157+00:00,INTJ,INFJ
ifeval,A_only,A_only,persona_20260410T042535Z_228ccd72,ifeval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:26:28.617445+00:00,INTJ,INTJ
ifeval,A_summary_to_B,A_summary_to_B,persona_20260410T054122Z_ede12d3b,ifeval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T05:42:19.527795+00:00,INTJ,INFJ
ifeval,B_history_to_B,B_history_to_B,persona_20260410T054513Z_3c8ff99b,ifeval,gemini-2.5-flash-lite,history,1,30,2026-04-10T05:46:04.532770+00:00,INTJ,INFJ
ifeval,B_only,B_only,persona_20260410T043304Z_111c8cee,ifeval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:34:07.007677+00:00,INFJ,INFJ
ifeval,B_summary_to_B,B_summary_to_B,persona_20260410T054913Z_247f0750,ifeval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T05:50:05.207528+00:00,INTJ,INFJ
mbti_mcq,A_history_to_B,A_history_to_B,persona_20260410T055011Z_74b9132f,mbti_questions,gemini-2.5-flash-lite,history,1,93,2026-04-10T05:51:43.706459+00:00,INTJ,ENFJ
mbti_mcq,A_only,A_only,persona_20260410T042215Z_12ed668c,mbti_questions,gemini-2.5-flash-lite,none,0,93,2026-04-10T04:24:35.135436+00:00,INTJ,INTJ
mbti_mcq,A_summary_to_B,A_summary_to_B,persona_20260410T055329Z_a554fb31,mbti_questions,gemini-2.5-flash-lite,summary,1,93,2026-04-10T05:54:59.990374+00:00,INTJ,ENFJ
mbti_mcq,B_history_to_B,B_history_to_B,persona_20260410T055640Z_4c08d085,mbti_questions,gemini-2.5-flash-lite,history,1,93,2026-04-10T05:58:34.149532+00:00,INTJ,ENFJ
mbti_mcq,B_only,B_only,persona_20260410T043414Z_08d8a31e,mbti_questions,gemini-2.5-flash-lite,none,0,93,2026-04-10T04:36:12.905267+00:00,ENFJ,ENFJ
mbti_mcq,B_summary_to_B,B_summary_to_B,persona_20260410T060031Z_cc26a944,mbti_questions,gemini-2.5-flash-lite,summary,1,93,2026-04-10T06:02:21.273036+00:00,INTJ,ENFJ
machine_mindset,A_history_to_B,A_history_to_B,persona_20260410T055149Z_3e46d24e,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,history,1,30,2026-04-10T05:52:21.416727+00:00,INTJ,ENFJ
machine_mindset,A_only,A_only,persona_20260410T042443Z_edc279e8,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:25:23.370622+00:00,INTJ,INTJ
machine_mindset,A_summary_to_B,A_summary_to_B,persona_20260410T055505Z_669f8ad4,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T05:55:35.448563+00:00,INTJ,ENFJ
machine_mindset,B_history_to_B,B_history_to_B,persona_20260410T055840Z_f878efb5,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,history,1,30,2026-04-10T05:59:19.639003+00:00,INTJ,ENFJ
machine_mindset,B_only,B_only,persona_20260410T043619Z_44dd0d64,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:36:57.238756+00:00,ENFJ,ENFJ
machine_mindset,B_summary_to_B,B_summary_to_B,persona_20260410T060227Z_e4a27c1f,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T06:03:06.023722+00:00,INTJ,ENFJ
ifeval,A_history_to_B,A_history_to_B,persona_20260410T055230Z_0915b505,ifeval,gemini-2.5-flash-lite,history,1,30,2026-04-10T05:53:23.054445+00:00,INTJ,ENFJ
ifeval,A_only,A_only,persona_20260410T042535Z_228ccd72,ifeval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:26:28.617445+00:00,INTJ,INTJ
ifeval,A_summary_to_B,A_summary_to_B,persona_20260410T055544Z_533ccb6b,ifeval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T05:56:34.244822+00:00,INTJ,ENFJ
ifeval,B_history_to_B,B_history_to_B,persona_20260410T055928Z_4f06ddb1,ifeval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:00:24.939343+00:00,INTJ,ENFJ
ifeval,B_only,B_only,persona_20260410T043707Z_bdcedde1,ifeval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:38:08.326832+00:00,ENFJ,ENFJ
ifeval,B_summary_to_B,B_summary_to_B,persona_20260410T060315Z_cdb11b74,ifeval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T06:04:23.881890+00:00,INTJ,ENFJ
mbti_mcq,A_history_to_B,A_history_to_B,persona_20260410T060430Z_82ef1ed1,mbti_questions,gemini-2.5-flash-lite,history,1,93,2026-04-10T06:06:09.050074+00:00,INTJ,ISFJ
mbti_mcq,A_only,A_only,persona_20260410T042215Z_12ed668c,mbti_questions,gemini-2.5-flash-lite,none,0,93,2026-04-10T04:24:35.135436+00:00,INTJ,INTJ
mbti_mcq,A_summary_to_B,A_summary_to_B,persona_20260410T060800Z_b6f89e79,mbti_questions,gemini-2.5-flash-lite,summary,1,93,2026-04-10T06:09:55.835706+00:00,INTJ,ISFJ
mbti_mcq,B_history_to_B,B_history_to_B,persona_20260410T061145Z_c435bff5,mbti_questions,gemini-2.5-flash-lite,history,1,93,2026-04-10T06:13:27.543493+00:00,INTJ,ISFJ
mbti_mcq,B_only,B_only,persona_20260410T043815Z_66a04929,mbti_questions,gemini-2.5-flash-lite,none,0,93,2026-04-10T04:39:50.109713+00:00,ISFJ,ISFJ
mbti_mcq,B_summary_to_B,B_summary_to_B,persona_20260410T061515Z_9e081da9,mbti_questions,gemini-2.5-flash-lite,summary,1,93,2026-04-10T06:16:53.535873+00:00,INTJ,ISFJ
machine_mindset,A_history_to_B,A_history_to_B,persona_20260410T060614Z_5f3df2f2,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:06:51.625544+00:00,INTJ,ISFJ
machine_mindset,A_only,A_only,persona_20260410T042443Z_edc279e8,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:25:23.370622+00:00,INTJ,INTJ
machine_mindset,A_summary_to_B,A_summary_to_B,persona_20260410T061001Z_cac7ef3a,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T06:10:37.095816+00:00,INTJ,ISFJ
machine_mindset,B_history_to_B,B_history_to_B,persona_20260410T061333Z_0e4282ba,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:14:10.009677+00:00,INTJ,ISFJ
machine_mindset,B_only,B_only,persona_20260410T043956Z_94953cd7,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:40:32.989886+00:00,ISFJ,ISFJ
machine_mindset,B_summary_to_B,B_summary_to_B,persona_20260410T061659Z_04e9dbbd,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T06:17:34.138584+00:00,INTJ,ISFJ
ifeval,A_history_to_B,A_history_to_B,persona_20260410T060700Z_d38b4b55,ifeval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:07:54.319877+00:00,INTJ,ISFJ
ifeval,A_only,A_only,persona_20260410T042535Z_228ccd72,ifeval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:26:28.617445+00:00,INTJ,INTJ
ifeval,A_summary_to_B,A_summary_to_B,persona_20260410T061046Z_e7bc5af7,ifeval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T06:11:39.036172+00:00,INTJ,ISFJ
ifeval,B_history_to_B,B_history_to_B,persona_20260410T061419Z_7010cf30,ifeval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:15:09.220197+00:00,INTJ,ISFJ
ifeval,B_only,B_only,persona_20260410T044043Z_25472c73,ifeval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:41:36.829511+00:00,ISFJ,ISFJ
ifeval,B_summary_to_B,B_summary_to_B,persona_20260410T061743Z_a3d1e059,ifeval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T06:18:34.779784+00:00,INTJ,ISFJ
mbti_mcq,A_history_to_B,A_history_to_B,persona_20260410T061840Z_93fcdfbf,mbti_questions,gemini-2.5-flash-lite,history,1,93,2026-04-10T06:20:13.807011+00:00,INTJ,ENTJ
mbti_mcq,A_only,A_only,persona_20260410T042215Z_12ed668c,mbti_questions,gemini-2.5-flash-lite,none,0,93,2026-04-10T04:24:35.135436+00:00,INTJ,INTJ
mbti_mcq,A_summary_to_B,A_summary_to_B,persona_20260410T062206Z_1a789eac,mbti_questions,gemini-2.5-flash-lite,summary,1,93,2026-04-10T06:24:16.900514+00:00,INTJ,ENTJ
mbti_mcq,B_history_to_B,B_history_to_B,persona_20260410T062642Z_38dd648d,mbti_questions,gemini-2.5-flash-lite,history,1,93,2026-04-10T06:28:48.169864+00:00,INTJ,ENTJ
mbti_mcq,B_only,B_only,persona_20260410T044143Z_ae3a3961,mbti_questions,gemini-2.5-flash-lite,none,0,93,2026-04-10T04:43:15.825228+00:00,ENTJ,ENTJ
mbti_mcq,B_summary_to_B,B_summary_to_B,persona_20260410T063057Z_675c23aa,mbti_questions,gemini-2.5-flash-lite,summary,1,93,2026-04-10T06:33:36.625666+00:00,INTJ,ENTJ
machine_mindset,A_history_to_B,A_history_to_B,persona_20260410T062019Z_9aa4263e,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:20:55.523102+00:00,INTJ,ENTJ
machine_mindset,A_only,A_only,persona_20260410T042443Z_edc279e8,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:25:23.370622+00:00,INTJ,INTJ
machine_mindset,A_summary_to_B,A_summary_to_B,persona_20260410T062422Z_016be90c,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T06:25:11.282369+00:00,INTJ,ENTJ
machine_mindset,B_history_to_B,B_history_to_B,persona_20260410T062854Z_9a07b986,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:29:26.028190+00:00,INTJ,ENTJ
machine_mindset,B_only,B_only,persona_20260410T044322Z_4a327fe0,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:43:53.800651+00:00,ENTJ,ENTJ
machine_mindset,B_summary_to_B,B_summary_to_B,persona_20260410T063342Z_61aa6ad4,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T06:34:15.819995+00:00,INTJ,ENTJ
ifeval,A_history_to_B,A_history_to_B,persona_20260410T062104Z_967c242a,ifeval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:21:59.972087+00:00,INTJ,ENTJ
ifeval,A_only,A_only,persona_20260410T042535Z_228ccd72,ifeval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:26:28.617445+00:00,INTJ,INTJ
ifeval,A_summary_to_B,A_summary_to_B,persona_20260410T062520Z_aada119a,ifeval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T06:26:36.614441+00:00,INTJ,ENTJ
ifeval,B_history_to_B,B_history_to_B,persona_20260410T062935Z_2df24a74,ifeval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:30:51.231850+00:00,INTJ,ENTJ
ifeval,B_only,B_only,persona_20260410T044405Z_2b545982,ifeval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:44:52.827520+00:00,ENTJ,ENTJ
ifeval,B_summary_to_B,B_summary_to_B,persona_20260410T063425Z_ed12d30f,ifeval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T06:35:14.918173+00:00,INTJ,ENTJ
mbti_mcq,A_history_to_B,A_history_to_B,persona_20260410T063521Z_aaa17e9c,mbti_questions,gemini-2.5-flash-lite,history,1,93,2026-04-10T06:36:58.688407+00:00,INTJ,ENTP
mbti_mcq,A_only,A_only,persona_20260410T042215Z_12ed668c,mbti_questions,gemini-2.5-flash-lite,none,0,93,2026-04-10T04:24:35.135436+00:00,INTJ,INTJ
mbti_mcq,A_summary_to_B,A_summary_to_B,persona_20260410T063859Z_398eba6c,mbti_questions,gemini-2.5-flash-lite,summary,1,93,2026-04-10T06:40:34.243321+00:00,INTJ,ENTP
mbti_mcq,B_history_to_B,B_history_to_B,persona_20260410T064230Z_e25d1f62,mbti_questions,gemini-2.5-flash-lite,history,1,93,2026-04-10T06:44:21.133226+00:00,INTJ,ENTP
mbti_mcq,B_only,B_only,persona_20260410T044500Z_4f57f0a8,mbti_questions,gemini-2.5-flash-lite,none,0,93,2026-04-10T04:46:22.820941+00:00,ENTP,ENTP
mbti_mcq,B_summary_to_B,B_summary_to_B,persona_20260410T064617Z_6232676d,mbti_questions,gemini-2.5-flash-lite,summary,1,93,2026-04-10T06:47:49.045426+00:00,INTJ,ENTP
machine_mindset,A_history_to_B,A_history_to_B,persona_20260410T063704Z_4d5b1080,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:37:46.259846+00:00,INTJ,ENTP
machine_mindset,A_only,A_only,persona_20260410T042443Z_edc279e8,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:25:23.370622+00:00,INTJ,INTJ
machine_mindset,A_summary_to_B,A_summary_to_B,persona_20260410T064040Z_dbbbb4c1,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T06:41:18.956645+00:00,INTJ,ENTP
machine_mindset,B_history_to_B,B_history_to_B,persona_20260410T064426Z_f2518eef,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:45:08.001394+00:00,INTJ,ENTP
machine_mindset,B_only,B_only,persona_20260410T044630Z_345f59a8,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:47:02.147973+00:00,ENTP,ENTP
machine_mindset,B_summary_to_B,B_summary_to_B,persona_20260410T064754Z_099a5845,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T06:48:31.487202+00:00,INTJ,ENTP
ifeval,A_history_to_B,A_history_to_B,persona_20260410T063755Z_f9aa7a1b,ifeval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:38:53.056894+00:00,INTJ,ENTP
ifeval,A_only,A_only,persona_20260410T042535Z_228ccd72,ifeval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:26:28.617445+00:00,INTJ,INTJ
ifeval,A_summary_to_B,A_summary_to_B,persona_20260410T064128Z_464b22d3,ifeval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T06:42:24.273283+00:00,INTJ,ENTP
ifeval,B_history_to_B,B_history_to_B,persona_20260410T064517Z_ad4216ba,ifeval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:46:10.861299+00:00,INTJ,ENTP
ifeval,B_only,B_only,persona_20260410T044713Z_521c9ce7,ifeval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:48:06.329708+00:00,ENTP,ENTP
ifeval,B_summary_to_B,B_summary_to_B,persona_20260410T064840Z_ea61aced,ifeval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T06:49:36.823882+00:00,INTJ,ENTP
mbti_mcq,A_history_to_B,A_history_to_B,persona_20260410T064943Z_4b1e87c3,mbti_questions,gemini-2.5-flash-lite,history,1,93,2026-04-10T06:51:16.175383+00:00,INTJ,ESTP
mbti_mcq,A_only,A_only,persona_20260410T042215Z_12ed668c,mbti_questions,gemini-2.5-flash-lite,none,0,93,2026-04-10T04:24:35.135436+00:00,INTJ,INTJ
mbti_mcq,A_summary_to_B,A_summary_to_B,persona_20260410T065258Z_c93d9e57,mbti_questions,gemini-2.5-flash-lite,summary,1,93,2026-04-10T06:54:44.644609+00:00,INTJ,ESTP
mbti_mcq,B_history_to_B,B_history_to_B,persona_20260410T065625Z_17f2c1cb,mbti_questions,gemini-2.5-flash-lite,history,1,93,2026-04-10T06:58:03.692272+00:00,INTJ,ESTP
mbti_mcq,B_only,B_only,persona_20260410T044813Z_e70ff536,mbti_questions,gemini-2.5-flash-lite,none,0,93,2026-04-10T04:49:58.464405+00:00,ESTP,ESTP
mbti_mcq,B_summary_to_B,B_summary_to_B,persona_20260410T065952Z_cbc8b99c,mbti_questions,gemini-2.5-flash-lite,summary,1,93,2026-04-10T07:02:16.285437+00:00,INTJ,ESTP
machine_mindset,A_history_to_B,A_history_to_B,persona_20260410T065121Z_45e02bed,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:51:53.474700+00:00,INTJ,ESTP
machine_mindset,A_only,A_only,persona_20260410T042443Z_edc279e8,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:25:23.370622+00:00,INTJ,INTJ
machine_mindset,A_summary_to_B,A_summary_to_B,persona_20260410T065450Z_d843dcfe,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T06:55:21.015642+00:00,INTJ,ESTP
machine_mindset,B_history_to_B,B_history_to_B,persona_20260410T065809Z_62703798,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:58:44.479850+00:00,INTJ,ESTP
machine_mindset,B_only,B_only,persona_20260410T045004Z_b35d998a,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:50:38.798956+00:00,ESTP,ESTP
machine_mindset,B_summary_to_B,B_summary_to_B,persona_20260410T070222Z_7de1bfa2,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T07:03:15.052873+00:00,INTJ,ESTP
ifeval,A_history_to_B,A_history_to_B,persona_20260410T065202Z_d6bd65d9,ifeval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:52:52.767953+00:00,INTJ,ESTP
ifeval,A_only,A_only,persona_20260410T042535Z_228ccd72,ifeval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:26:28.617445+00:00,INTJ,INTJ
ifeval,A_summary_to_B,A_summary_to_B,persona_20260410T065531Z_13272de9,ifeval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T06:56:19.604068+00:00,INTJ,ESTP
ifeval,B_history_to_B,B_history_to_B,persona_20260410T065853Z_00b75039,ifeval,gemini-2.5-flash-lite,history,1,30,2026-04-10T06:59:46.792989+00:00,INTJ,ESTP
ifeval,B_only,B_only,persona_20260410T045048Z_742e9468,ifeval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:51:43.505510+00:00,ESTP,ESTP
ifeval,B_summary_to_B,B_summary_to_B,persona_20260410T070324Z_02cd96e7,ifeval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T07:04:27.978632+00:00,INTJ,ESTP
mbti_mcq,A_history_to_B,A_history_to_B,persona_20260410T070434Z_9e3f2a67,mbti_questions,gemini-2.5-flash-lite,history,1,93,2026-04-10T07:07:14.602884+00:00,INTJ,ISTP
mbti_mcq,A_only,A_only,persona_20260410T042215Z_12ed668c,mbti_questions,gemini-2.5-flash-lite,none,0,93,2026-04-10T04:24:35.135436+00:00,INTJ,INTJ
mbti_mcq,A_summary_to_B,A_summary_to_B,persona_20260410T070932Z_0da2984a,mbti_questions,gemini-2.5-flash-lite,summary,1,93,2026-04-10T07:12:36.758308+00:00,INTJ,ISTP
mbti_mcq,B_history_to_B,B_history_to_B,persona_20260410T071519Z_06552afb,mbti_questions,gemini-2.5-flash-lite,history,1,93,2026-04-10T07:17:34.912065+00:00,INTJ,ISTP
mbti_mcq,B_only,B_only,persona_20260410T045149Z_81d3fb2a,mbti_questions,gemini-2.5-flash-lite,none,0,93,2026-04-10T04:53:08.811080+00:00,ISTP,ISTP
mbti_mcq,B_summary_to_B,B_summary_to_B,persona_20260410T071952Z_e5eeb879,mbti_questions,gemini-2.5-flash-lite,summary,1,93,2026-04-10T07:21:51.531311+00:00,INTJ,ISTP
machine_mindset,A_history_to_B,A_history_to_B,persona_20260410T070720Z_89affeb1,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,history,1,30,2026-04-10T07:08:15.063684+00:00,INTJ,ISTP
machine_mindset,A_only,A_only,persona_20260410T042443Z_edc279e8,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:25:23.370622+00:00,INTJ,INTJ
machine_mindset,A_summary_to_B,A_summary_to_B,persona_20260410T071242Z_73ef93a4,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T07:13:44.858349+00:00,INTJ,ISTP
machine_mindset,B_history_to_B,B_history_to_B,persona_20260410T071740Z_10adc8d4,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,history,1,30,2026-04-10T07:18:27.187352+00:00,INTJ,ISTP
machine_mindset,B_only,B_only,persona_20260410T045314Z_c394afb1,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:53:43.797326+00:00,ISTP,ISTP
machine_mindset,B_summary_to_B,B_summary_to_B,persona_20260410T072157Z_739d61f3,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T07:22:41.612318+00:00,INTJ,ISTP
ifeval,A_history_to_B,A_history_to_B,persona_20260410T070824Z_a0583067,ifeval,gemini-2.5-flash-lite,history,1,30,2026-04-10T07:09:25.833542+00:00,INTJ,ISTP
