persona_a,persona_b,pair_id,task_type,retain_mechanism,switch_condition,matched_control_condition,n_common_samples,primary_metric_name,primary_switch_value,primary_control_value,primary_gap_abs,scs_metric_name,scs_value,rai_metric_name,rai_value,switch_reaches_target_b,final_type_switch,target_persona_b
INTJ,ENFJ,INTJ_to_ENFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.6667,0.6333,0.0334,scs_lexical_similarity_to_matched_b_control,0.4663,rai_lexical_gap,-0.0683,,,
INTJ,ISFJ,INTJ_to_ISFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.5,1.0,0.5,scs_item_agreement_with_matched_b_control,0.6022,rai_item_agreement_gap,0.3011,False,IXTJ,ISFJ
INTJ,ISFJ,INTJ_to_ISFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.8925,rai_item_agreement_gap,-0.3011,True,ISFJ,ISFJ
INTJ,ISFJ,INTJ_to_ISFJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6881,0.7683,0.0802,scs_predicted_agreement_with_matched_b_control,0.1,mean_rai_margin_a_minus_target,0.0514,,,
INTJ,ISFJ,INTJ_to_ISFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.742,0.7472,0.0052,scs_predicted_agreement_with_matched_b_control,0.2,mean_rai_margin_a_minus_target,-0.067,,,
INTJ,ISFJ,INTJ_to_ISFJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6333,0.5667,0.0666,scs_lexical_similarity_to_matched_b_control,0.5485,rai_lexical_gap,-0.1156,,,
INTJ,ISFJ,INTJ_to_ISFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7333,0.6667,0.0666,scs_lexical_similarity_to_matched_b_control,0.4644,rai_lexical_gap,-0.0344,,,
INTJ,ENTJ,INTJ_to_ENTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.75,0.75,0.0,scs_item_agreement_with_matched_b_control,0.7527,rai_item_agreement_gap,0.172,False,INTJ,ENTJ
INTJ,ENTJ,INTJ_to_ENTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,0.75,0.25,scs_item_agreement_with_matched_b_control,0.8817,rai_item_agreement_gap,-0.0753,True,ENTJ,ENTJ
INTJ,ENTJ,INTJ_to_ENTJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.7249,0.7413,0.0164,scs_predicted_agreement_with_matched_b_control,0.4,mean_rai_margin_a_minus_target,0.0098,,,
INTJ,ENTJ,INTJ_to_ENTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.6739,0.6829,0.009,scs_predicted_agreement_with_matched_b_control,0.4333,mean_rai_margin_a_minus_target,-0.0189,,,
INTJ,ENTJ,INTJ_to_ENTJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6667,0.6,0.0667,scs_lexical_similarity_to_matched_b_control,0.5067,rai_lexical_gap,-0.0584,,,
INTJ,ENTJ,INTJ_to_ENTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.6667,0.7333,0.0666,scs_lexical_similarity_to_matched_b_control,0.5134,rai_lexical_gap,-0.024,,,
INTJ,ENTP,INTJ_to_ENTP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.5,1.0,0.5,scs_item_agreement_with_matched_b_control,0.5054,rai_item_agreement_gap,0.4194,False,INTJ,ENTP
INTJ,ENTP,INTJ_to_ENTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.9355,rai_item_agreement_gap,-0.3871,True,ENTP,ENTP
INTJ,ENTP,INTJ_to_ENTP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6833,0.7165,0.0332,scs_predicted_agreement_with_matched_b_control,0.0333,mean_rai_margin_a_minus_target,0.0392,,,
INTJ,ENTP,INTJ_to_ENTP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7077,0.7022,0.0055,scs_predicted_agreement_with_matched_b_control,0.4,mean_rai_margin_a_minus_target,-0.0828,,,
INTJ,ENTP,INTJ_to_ENTP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6667,0.6,0.0667,scs_lexical_similarity_to_matched_b_control,0.4864,rai_lexical_gap,-0.0372,,,
INTJ,ENTP,INTJ_to_ENTP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7,0.7,0.0,scs_lexical_similarity_to_matched_b_control,0.4458,rai_lexical_gap,-0.0325,,,
INTJ,ESTP,INTJ_to_ESTP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.5,0.75,0.25,scs_item_agreement_with_matched_b_control,0.4946,rai_item_agreement_gap,0.3871,False,ISTJ,ESTP
INTJ,ESTP,INTJ_to_ESTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.914,rai_item_agreement_gap,-0.4624,True,ESTP,ESTP
INTJ,ESTP,INTJ_to_ESTP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6503,0.6872,0.0369,scs_predicted_agreement_with_matched_b_control,0.1667,mean_rai_margin_a_minus_target,0.0015,,,
INTJ,ESTP,INTJ_to_ESTP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.6641,0.6395,0.0246,scs_predicted_agreement_with_matched_b_control,0.2,mean_rai_margin_a_minus_target,-0.0524,,,
INTJ,ESTP,INTJ_to_ESTP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6333,0.6333,0.0,scs_lexical_similarity_to_matched_b_control,0.5067,rai_lexical_gap,-0.0535,,,
INTJ,ESTP,INTJ_to_ESTP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7333,0.7667,0.0334,scs_lexical_similarity_to_matched_b_control,0.4729,rai_lexical_gap,-0.0421,,,
INTJ,ISTP,INTJ_to_ISTP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.5,1.0,0.5,scs_item_agreement_with_matched_b_control,0.7957,rai_item_agreement_gap,0.1075,False,IXTJ,ISTP
INTJ,ISTP,INTJ_to_ISTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.8387,rai_item_agreement_gap,-0.1505,True,ISTP,ISTP
INTJ,ISTP,INTJ_to_ISTP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.7228,0.6857,0.0371,scs_predicted_agreement_with_matched_b_control,0.2667,mean_rai_margin_a_minus_target,0.0212,,,
INTJ,ISTP,INTJ_to_ISTP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.6887,0.6581,0.0306,scs_predicted_agreement_with_matched_b_control,0.3,mean_rai_margin_a_minus_target,-0.0244,,,
INTJ,ISTP,INTJ_to_ISTP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6333,0.6667,0.0334,scs_lexical_similarity_to_matched_b_control,0.5275,rai_lexical_gap,-0.0687,,,
INTJ,ISTP,INTJ_to_ISTP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7,0.7,0.0,scs_lexical_similarity_to_matched_b_control,0.5085,rai_lexical_gap,-0.063,,,
INTJ,ISFP,INTJ_to_ISFP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.25,0.75,0.5,scs_item_agreement_with_matched_b_control,0.3978,rai_item_agreement_gap,0.5269,False,IXTJ,ISFP
INTJ,ISFP,INTJ_to_ISFP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,0.75,0.75,0.0,scs_item_agreement_with_matched_b_control,0.9032,rai_item_agreement_gap,-0.3441,False,INFP,ISFP
INTJ,ISFP,INTJ_to_ISFP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6905,0.746,0.0555,scs_predicted_agreement_with_matched_b_control,0.0333,mean_rai_margin_a_minus_target,0.0534,,,
INTJ,ISFP,INTJ_to_ISFP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.6903,0.7373,0.047,scs_predicted_agreement_with_matched_b_control,0.2333,mean_rai_margin_a_minus_target,-0.0777,,,
INTJ,ISFP,INTJ_to_ISFP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6333,0.6667,0.0334,scs_lexical_similarity_to_matched_b_control,0.5138,rai_lexical_gap,-0.067,,,
INTJ,ISFP,INTJ_to_ISFP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.6333,0.7,0.0667,scs_lexical_similarity_to_matched_b_control,0.452,rai_lexical_gap,-0.0498,,,
INTJ,ENFP,INTJ_to_ENFP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.25,1.0,0.75,scs_item_agreement_with_matched_b_control,0.2258,rai_item_agreement_gap,0.6774,False,INTJ,ENFP
INTJ,ENFP,INTJ_to_ENFP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.914,rai_item_agreement_gap,-0.5591,True,ENFP,ENFP
INTJ,ENFP,INTJ_to_ENFP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6841,0.6953,0.0112,scs_predicted_agreement_with_matched_b_control,0.0333,mean_rai_margin_a_minus_target,0.0568,,,
INTJ,ENFP,INTJ_to_ENFP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7143,0.6762,0.0381,scs_predicted_agreement_with_matched_b_control,0.4333,mean_rai_margin_a_minus_target,-0.1172,,,
INTJ,ENFP,INTJ_to_ENFP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6333,0.6667,0.0334,scs_lexical_similarity_to_matched_b_control,0.482,rai_lexical_gap,-0.0164,,,
INTJ,ENFP,INTJ_to_ENFP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.6667,0.7333,0.0666,scs_lexical_similarity_to_matched_b_control,0.4195,rai_lexical_gap,-0.0455,,,
INTJ,ISTJ,INTJ_to_ISTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.9247,rai_item_agreement_gap,-0.086,True,ISTJ,ISTJ
INTJ,ISTJ,INTJ_to_ISTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.9677,rai_item_agreement_gap,-0.2151,True,ISTJ,ISTJ
INTJ,ISTJ,INTJ_to_ISTJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.7441,0.7932,0.0491,scs_predicted_agreement_with_matched_b_control,0.2333,mean_rai_margin_a_minus_target,0.0327,,,
INTJ,ISTJ,INTJ_to_ISTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7552,0.7541,0.0011,scs_predicted_agreement_with_matched_b_control,0.6,mean_rai_margin_a_minus_target,-0.0454,,,
INTJ,ISTJ,INTJ_to_ISTJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6667,0.6,0.0667,scs_lexical_similarity_to_matched_b_control,0.517,rai_lexical_gap,-0.0858,,,
INTJ,ISTJ,INTJ_to_ISTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7,0.7,0.0,scs_lexical_similarity_to_matched_b_control,0.4974,rai_lexical_gap,-0.0181,,,
INTJ,INTP,INTJ_to_INTP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.75,0.75,0.0,scs_item_agreement_with_matched_b_control,0.8172,rai_item_agreement_gap,0.1075,False,INTJ,INTP
INTJ,INTP,INTJ_to_INTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,0.75,0.75,0.0,scs_item_agreement_with_matched_b_control,0.9247,rai_item_agreement_gap,-0.1075,False,INTJ,INTP
INTJ,INTP,INTJ_to_INTP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.7355,0.7412,0.0057,scs_predicted_agreement_with_matched_b_control,0.3667,mean_rai_margin_a_minus_target,0.0162,,,
INTJ,INTP,INTJ_to_INTP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7559,0.7356,0.0203,scs_predicted_agreement_with_matched_b_control,0.2667,mean_rai_margin_a_minus_target,-0.0308,,,
INTJ,INTP,INTJ_to_INTP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6667,0.6333,0.0334,scs_lexical_similarity_to_matched_b_control,0.543,rai_lexical_gap,-0.1151,,,
INTJ,INTP,INTJ_to_INTP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7,0.6333,0.0667,scs_lexical_similarity_to_matched_b_control,0.4727,rai_lexical_gap,-0.039,,,
INTJ,INFP,INTJ_to_INFP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.5,1.0,0.5,scs_item_agreement_with_matched_b_control,0.4624,rai_item_agreement_gap,0.4731,False,INTJ,INFP
INTJ,INFP,INTJ_to_INFP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.9032,rai_item_agreement_gap,-0.3656,True,INFP,INFP
INTJ,INFP,INTJ_to_INFP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6795,0.743,0.0635,scs_predicted_agreement_with_matched_b_control,0.0667,mean_rai_margin_a_minus_target,0.0706,,,
INTJ,INFP,INTJ_to_INFP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7073,0.7241,0.0168,scs_predicted_agreement_with_matched_b_control,0.4667,mean_rai_margin_a_minus_target,-0.0546,,,
INTJ,INFP,INTJ_to_INFP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6667,0.6667,0.0,scs_lexical_similarity_to_matched_b_control,0.4617,rai_lexical_gap,-0.0103,,,
INTJ,INFP,INTJ_to_INFP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7,0.6333,0.0667,scs_lexical_similarity_to_matched_b_control,0.4676,rai_lexical_gap,-0.0787,,,
INTJ,ESFJ,INTJ_to_ESFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.25,1.0,0.75,scs_item_agreement_with_matched_b_control,0.3978,rai_item_agreement_gap,0.5269,False,INTJ,ESFJ
INTJ,ESFJ,INTJ_to_ESFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.8817,rai_item_agreement_gap,-0.4516,True,ESFJ,ESFJ
INTJ,ESFJ,INTJ_to_ESFJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6726,0.7263,0.0537,scs_predicted_agreement_with_matched_b_control,0.0333,mean_rai_margin_a_minus_target,0.0655,,,
INTJ,ESFJ,INTJ_to_ESFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.6894,0.701,0.0116,scs_predicted_agreement_with_matched_b_control,0.2667,mean_rai_margin_a_minus_target,-0.0518,,,
INTJ,ESFJ,INTJ_to_ESFJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6667,0.5667,0.1,scs_lexical_similarity_to_matched_b_control,0.4283,rai_lexical_gap,0.0312,,,
INTJ,ESFJ,INTJ_to_ESFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.6667,0.7,0.0333,scs_lexical_similarity_to_matched_b_control,0.4581,rai_lexical_gap,-0.0866,,,
INTJ,ESTJ,INTJ_to_ESTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.75,1.0,0.25,scs_item_agreement_with_matched_b_control,0.7204,rai_item_agreement_gap,0.172,False,ISTJ,ESTJ
INTJ,ESTJ,INTJ_to_ESTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.9247,rai_item_agreement_gap,-0.2581,True,ESTJ,ESTJ
INTJ,ESTJ,INTJ_to_ESTJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.7249,0.7676,0.0427,scs_predicted_agreement_with_matched_b_control,0.1667,mean_rai_margin_a_minus_target,0.0194,,,
INTJ,ESTJ,INTJ_to_ESTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7218,0.7417,0.0199,scs_predicted_agreement_with_matched_b_control,0.4333,mean_rai_margin_a_minus_target,-0.0372,,,
INTJ,ESTJ,INTJ_to_ESTJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6333,0.7,0.0667,scs_lexical_similarity_to_matched_b_control,0.5086,rai_lexical_gap,-0.0544,,,
INTJ,ESTJ,INTJ_to_ESTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7,0.7667,0.0667,scs_lexical_similarity_to_matched_b_control,0.4995,rai_lexical_gap,-0.0153,,,
ESFP,INTJ,ESFP_to_INTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.25,1.0,0.75,scs_item_agreement_with_matched_b_control,0.3871,rai_item_agreement_gap,0.4731,False,ENXP,INTJ
ESFP,INTJ,ESFP_to_INTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.9032,rai_item_agreement_gap,-0.5914,True,INTJ,INTJ
ESFP,INTJ,ESFP_to_INTJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6815,0.7631,0.0816,scs_predicted_agreement_with_matched_b_control,0.1333,mean_rai_margin_a_minus_target,0.0261,,,
ESFP,INTJ,ESFP_to_INTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7422,0.7487,0.0065,scs_predicted_agreement_with_matched_b_control,0.4667,mean_rai_margin_a_minus_target,-0.0925,,,
ESFP,INTJ,ESFP_to_INTJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6667,0.6333,0.0334,scs_lexical_similarity_to_matched_b_control,0.4988,rai_lexical_gap,-0.0579,,,
ESFP,INTJ,ESFP_to_INTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.6667,0.6667,0.0,scs_lexical_similarity_to_matched_b_control,0.4774,rai_lexical_gap,-0.0651,,,
ESFP,INFJ,ESFP_to_INFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.5,1.0,0.5,scs_item_agreement_with_matched_b_control,0.6237,rai_item_agreement_gap,0.172,False,ENFP,INFJ
ESFP,INFJ,ESFP_to_INFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.9677,rai_item_agreement_gap,-0.5054,True,INFJ,INFJ
ESFP,INFJ,ESFP_to_INFJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.7028,0.7556,0.0528,scs_predicted_agreement_with_matched_b_control,0.2,mean_rai_margin_a_minus_target,0.0029,,,
ESFP,INFJ,ESFP_to_INFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7259,0.76,0.0341,scs_predicted_agreement_with_matched_b_control,0.5,mean_rai_margin_a_minus_target,-0.0295,,,
ESFP,INFJ,ESFP_to_INFJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6333,0.6333,0.0,scs_lexical_similarity_to_matched_b_control,0.5016,rai_lexical_gap,-0.0562,,,
ESFP,INFJ,ESFP_to_INFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7,0.6667,0.0333,scs_lexical_similarity_to_matched_b_control,0.5041,rai_lexical_gap,-0.0424,,,
ESFP,ENFJ,ESFP_to_ENFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.75,1.0,0.25,scs_item_agreement_with_matched_b_control,0.7527,rai_item_agreement_gap,0.129,False,ENFP,ENFJ
ESFP,ENFJ,ESFP_to_ENFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.9247,rai_item_agreement_gap,-0.1935,True,ENFJ,ENFJ
ESFP,ENFJ,ESFP_to_ENFJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.7027,0.771,0.0683,scs_predicted_agreement_with_matched_b_control,0.2333,mean_rai_margin_a_minus_target,0.0014,,,
ESFP,ENFJ,ESFP_to_ENFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.718,0.7657,0.0477,scs_predicted_agreement_with_matched_b_control,0.2667,mean_rai_margin_a_minus_target,-0.0257,,,
ESFP,ENFJ,ESFP_to_ENFJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6667,0.6,0.0667,scs_lexical_similarity_to_matched_b_control,0.5562,rai_lexical_gap,-0.1,,,
ESFP,ENFJ,ESFP_to_ENFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7,0.6333,0.0667,scs_lexical_similarity_to_matched_b_control,0.4642,rai_lexical_gap,-0.0349,,,
ESFP,ISFJ,ESFP_to_ISFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.5,1.0,0.5,scs_item_agreement_with_matched_b_control,0.5591,rai_item_agreement_gap,0.2258,False,ESFP,ISFJ
ESFP,ISFJ,ESFP_to_ISFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.9247,rai_item_agreement_gap,-0.5484,True,ISFJ,ISFJ
ESFP,ISFJ,ESFP_to_ISFJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6794,0.7683,0.0889,scs_predicted_agreement_with_matched_b_control,0.1333,mean_rai_margin_a_minus_target,0.01,,,
